shortname,url,amcert,longname,description,urn,cacert,type,category,speaksfor
cenic-ig,https://instageni.cenic.net:12369/protogeni/xmlrpc/am/2.0,cenic-ig-cm.pem,CENIC InstaGENI,CENIC InstaGENI Rack,urn:publicid:IDN+instageni.cenic.net+authority+cm,cenic-ig-boss.pem,ui_instageni_am,ui_prod_cat ui_compute_cat,Y
cenic-ig-of,https://foam.instageni.cenic.net:3626/foam/gapi/2,cenic-ig-of.pem,CENIC InstaGENI OpenFlow,CENIC InstaGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:foam.instageni.cenic.net+authority+am,cenic-ig-of.pem,ui_foam_am,ui_prod_cat ui_network_cat,N
clemson-og,https://clemson-clemson-control-1.clemson.edu:5001,clemson-og.pem,Clemson OpenGENI,Clemson OpenGENI Rack,urn:publicid:IDN+clemson-clemson-control-1.clemson.edu+authority+am,clemson-og.pem,ui_other_am,ui_prod_cat ui_compute_cat,Y
nps-ig,https://instageni.nps.edu:12369/protogeni/xmlrpc/am/2.0,nps-ig-cm.pem,NPS InstaGENI,NPS InstaGENI Rack,urn:publicid:IDN+instageni.nps.edu+authority+cm,nps-ig-boss.pem,ui_instageni_am,ui_prod_cat ui_compute_cat,Y
nps-ig-of,https://foam.instageni.nps.edu:3626/foam/gapi/2,nps-ig-of.pem,NPS InstaGENI OpenFlow,NPS InstaGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:foam.instageni.nps.edu+authority+am,nps-ig-of.pem,ui_foam_am,ui_prod_cat ui_network_cat,N
osf-eg,https://osf-hn.exogeni.net:11443/orca/xmlrpc,osf-eg.pem,OSF ExoGENI,OSF ExoGENI Rack,urn:publicid:IDN+exogeni.net:osfvmsite+authority+am,osf-eg.pem,ui_exogeni_am,ui_prod_cat ui_compute_cat,Y
osf-eg-of,https://osf-hn.exogeni.net:3626/foam/gapi/2,osf-eg-of.pem,OSF ExoGENI OpenFlow,OSF ExoGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:osf-hn.exogeni.net+authority+am,osf-eg-of.pem,ui_foam_am,ui_prod_cat ui_network_cat,N
princeton-ig,https://instageni.cs.princeton.edu:12369/protogeni/xmlrpc/am/2.0,princeton-ig-cm.pem,Princeton InstaGENI,Princeton InstaGENI Rack,urn:publicid:IDN+instageni.cs.princeton.edu+authority+cm,princeton-ig-boss.pem,ui_instageni_am,ui_prod_cat ui_compute_cat,Y
princeton-ig-of,https://foam.instageni.cs.princeton.edu:3626/foam/gapi/2,princeton-ig-of.pem,Princeton InstaGENI OpenFlow,Princeton InstaGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:foam.instageni.cs.princeton.edu+authority+am,princeton-ig-of.pem,ui_foam_am,ui_prod_cat ui_network_cat,N
sl-eg,https://sl-hn.exogeni.net:11443/orca/xmlrpc,sl-eg.pem,StarLight ExoGENI,StarLight ExoGENI Rack,urn:publicid:IDN+exogeni.net:slvmsite+authority+am,sl-eg.pem,ui_exogeni_am,ui_prod_cat ui_compute_cat,Y
sl-eg-of,https://sl-hn.exogeni.net:3626/foam/gapi/2,sl-eg-of.pem,StarLight ExoGENI OpenFlow,StarLight ExoGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:sl-hn.exogeni.net+authority+am,sl-eg-of.pem,ui_foam_am,ui_prod_cat ui_network_cat,N
ucdavis-eg,https://ucd-hn.exogeni.net:11443/orca/xmlrpc,ucdavis-eg.pem,UC Davis ExoGENI,UC Davis ExoGENI Rack,urn:publicid:IDN+exogeni.net:ucdvmsite+authority+am,ucdavis-eg.pem,ui_exogeni_am,ui_prod_cat ui_compute_cat,Y
ucdavis-eg-of,https://ucd-hn.exogeni.net:3626/foam/gapi/2,ucdavis-eg-of.pem,UC Davis ExoGENI OpenFlow,UC Davis ExoGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:ucd-hn.exogeni.net+authority+am,ucdavis-eg-of.pem,ui_foam_am,ui_prod_cat ui_network_cat,N
ufl-eg,https://ufl-hn.exogeni.net:11443/orca/xmlrpc,ufl-eg.pem,UFL ExoGENI,UFL ExoGENI Rack,urn:publicid:IDN+exogeni.net:uflvmsite+authority+am,ufl-eg.pem,ui_exogeni_am,ui_prod_cat ui_compute_cat,Y
ufl-eg-of,https://ufl-hn.exogeni.net:3626/foam/gapi/2,ufl-eg-of.pem,UFL ExoGENI OpenFlow,UFL ExoGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:ufl-hn.exogeni.net+authority+am,ufl-eg-of.pem,ui_foam_am,ui_prod_cat ui_network_cat,N
